@relation Review_sentiment


@attribute adjective_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.0165000000000002,5
1.3857000000000002,4
0,3
-0.6708999999999999,2
0.2106,5
0,3
1.3732,3
0.7484000000000002,2
-0.7725,2
1.3300999999999998,5
4.0518,4
-0.11130000000000001,1
0.004,1
0.681,3
0.47169999999999995,4
2.7779999999999996,4
0,1
-0.013600000000000056,4
-0.49219999999999997,1
1.488,5
0.5971,5
0.4778,3
-0.020800000000000027,1
0.8782000000000001,4
1.3512,1
-0.7433,1
0.5012,5
0.8096,2
-0.4727,2
-0.1819,5
-1.0896,2
1.0793,4
0.7432,2
0.9386999999999999,1
0.488,2
-0.3487,3
0.0032000000000000006,5
0.8740999999999999,3
0.8641,5
0.5814999999999999,4
0,3
-0.4607,4
-0.3089,2
0.10580000000000002,5
0,3
