@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
-2.4901000000000004,1
0.10060000000000013,5
0.06220000000000003,3
-3.0561999999999996,2
0.35459999999999997,2
0.22060000000000002,5
0.11889999999999967,4
0.8262,1
0.024399999999999977,2
-0.6018000000000001,2
1.3084000000000002,5
1.3315000000000006,4
0.3716,3
0.8982,5
-0.08220000000000005,3
-0.10060000000000002,3
1.5266,4
0,1
-0.3994,1
0.0032000000000000006,1
0.008,5
-0.07899999999999993,2
-1.5381999999999998,2
-0.45200000000000007,3
0,5
0.5547,2
-2.8282,1
2.3019000000000003,5
-0.2882999999999999,1
0.3235,4
0.6126,4
0.7567999999999999,3
0.25709999999999994,5
-1.9053000000000002,1
-0.13450000000000006,4
0.004,2
-0.4689,3
1.5205,4
-1.1199000000000001,1
1.135,4
-0.5007999999999999,1
-0.7626000000000001,2
0.8942,5
0.6979000000000002,3
1.0224,5
0.5611000000000002,5
2.9288000000000003,3
19.36170000000002,4
0.5229000000000001,2
3.9841000000000006,4
-1.6373000000000002,2
-0.4659999999999999,2
1.9344999999999997,3
0.7714999999999999,4
-0.7843,1
2.9882,5
-0.4747,3
0.27669999999999995,2
1.0667999999999997,2
0.397,4
-0.1473,1
-0.5953,4
0.2784000000000001,4
-1.5394999999999999,3
0.8200000000000001,5
6.854399999999997,5
1.1289,1
-0.32320000000000004,3
-1.3930999999999998,2
1.6609,5
1.9835,1
-0.3084,2
1.1810999999999998,2
0.8774,4
1.374,5
-0.7772,3
0.4415,1
1.7480000000000004,5
0.0989,3
-0.2895,2
2.1431,3
3.5875,4
1.0087000000000002,1
0,5
2.0029,2
0.4638,1
-0.4787,3
0.7251,1
2.1931000000000003,4
0.3122999999999998,2
-0.30450000000000005,3
1.1163,5
-0.34249999999999997,1
0.04699999999999993,2
1.0675999999999999,5
0.508,5
0.23220000000000005,2
1.6099999999999997,4
-0.16560000000000005,3
0.6979,3
-0.14429999999999998,5
0.7915,4
0.1446,4
0.3916,4
-0.6799999999999999,1
1.2563,3
-1.1767,1
-1.3259,1
-0.6621999999999999,4
0,4
0.004,4
0.014899999999999969,2
1.6336,2
-1.4741,2
0.7678,5
0,1
0.3876,2
0.4797,2
0.8210999999999999,5
0,5
1.9441,5
-0.3016,2
0.2322,4
0.6932999999999998,2
-0.22839999999999994,1
-0.4371,1
-2.0223999999999998,3
1.1104,4
0.23100000000000004,3
0.3922,3
-0.2849,1
-0.6781,3
0.7384,3
1.0398999999999998,5
0.09309999999999999,3
0.3716,4
1.243500000000001,3
0.6050999999999997,3
-0.9561,3
0.8855,4
-1.6187999999999998,1
-0.971,1
0.004,3
-1.156,2
0.7971,5
0.004,1
-0.5238999999999998,2
0.3581,1
1.0503,5
0.397,4
1.5653000000000001,5
0.5106,5
1.5929000000000002,4
-0.6522,1
0.34030000000000005,4
0.0665,2
0.5961,5
0.6912000000000005,5
-0.1215,2
0.5044,5
0.3454,2
0.6689,1
-0.7951,2
0.09999999999999998,3
-0.5285,5
-1.2119999999999997,2
-0.37759999999999994,3
0.345,4
-0.5816000000000001,1
2.5079,3
-0.8293000000000001,3
6.740499999999995,4
0.6931,5
0.004,5
1.1179999999999999,3
0.3637,3
0.393,5
-0.10710000000000003,3
-0.013000000000000025,4
0.6093999999999999,5
-1.1593,1
-0.9110999999999999,2
-1.1267,2
0.10780000000000009,1
0.7432,2
-0.011300000000000032,3
0.7609000000000001,2
-0.09710000000000008,1
-2.7361,1
-0.9118,4
2.5616,3
0.25299999999999995,5
-3.3686000000000003,1
1.0959999999999999,4
-0.8805,2
0,1
0.1295,4
1.5091,4
0.004,5
2.5508000000000006,4
3.823300000000001,3
0.3686,5
-1.0796,1
0.8398,4
-0.4753,1
1.3674000000000002,4
-0.8075000000000001,2
-0.715,1
0.49349999999999994,1
1.0143999999999997,3
-0.1510999999999999,4
4.190699999999979,4
0.9516,2
0.19370000000000004,1
0.9811999999999996,2
0.47299999999999986,5
-0.18119999999999994,3
0.7428,4
1.8017,5
-1.0738999999999999,1
0.3882,5
1.3735,1
1.3812,3
-1.6337,2
0.5038999999999999,3
3.9146999999999994,4
0.13989999999999997,4
0.03579999999999994,3
1.0478,5
1.2075,5
0.3922,2
0.8704999999999999,4
4.045099999999998,4
0.5951000000000002,3
0.004,1
0.7409999999999999,4
0.3882,3
-1.2405000000000002,1
0.7471,1
-0.3249,5
1.0834000000000001,3
-0.6173,1
-0.0928,2
0.6468,4
0.024100000000000007,5
0.3716,3
0.7726,5
0,2
0.15250000000000002,2
0.6726,5
0.3716,2
0.2735,2
0.7384,5
0.6365999999999999,1
0.2498,3
2.393,2
0.39959999999999996,4
-0.4672,3
-3.913,2
-2.4495,3
-1.8331,1
-0.5552000000000001,3
-0.2635,4
-0.2696,4
-0.8914000000000001,1
-0.22069999999999987,2
-1.1907,2
0.4898999999999999,5
-0.3654,1
1.4413999999999998,4
-1.6016000000000004,1
0.397,5
-0.8598,2
0.12259999999999999,4
0.7810000000000001,5
-0.9311000000000001,2
1.2062,5
0.6587999999999999,4
-0.5196000000000001,2
-1.6413999999999997,1
0.7223999999999999,4
0.6956,4
-0.3604000000000001,5
2.5338000000000007,5
-2.3683999999999994,1
-0.4139999999999999,2
-0.47930000000000006,1
1.1917000000000002,3
-0.2088,5
0.3405,3
-0.7157999999999999,1
3.7992,5
-0.7229999999999999,3
1.4693999999999998,4
0.477,5
-1.2934,1
