@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
49,-428.571,-428.571,0,0,1
36,-10736.1,0,-10736.1,0,3
26,30111.5,4496.15,13361.5,12253.8,5
72,-5901.39,-5890.28,55.5556,-66.6667,4
275,5567.27,3936.73,395.636,1234.91,4
445,-491.011,4540.45,-3513.48,-442.247,3
406,2727.83,3217.49,-648.522,158.867,4
154,6380.52,4250.65,2103.9,0,4
588,-5505.44,-5590.82,-341.497,420.068,3
169,-9280.47,-6595.86,47.3373,-2731.95,1
23,10365.2,10365.2,0,0,4
273,675.458,3922.34,-1418.68,-1828.21,1
127,7209.45,12341.7,-5804.72,672.441,4
239,1997.49,-805.858,0,2803.35,3
93,-8208.6,-8200,0,43.0108,2
296,3040.2,4587.84,-1308.45,-252.703,5
93,-10489.2,-5658.06,-7217.2,2386.02,2
41,3470.73,9785.37,0,5360.98,3
687,-5980.35,-296.215,-4550.66,-714.702,2
76,17592.1,17486.8,0,105.263,5
619,-200.485,2560.74,-625.687,-1596.93,4
54,19020.4,19020.4,0,0,5
505,-7607.13,-5908.32,0,898.812,2
247,-5229.15,2003.24,-5882.59,0,1
32,-340.625,11737.5,-12078.1,0,2
35,9711.43,11228.6,-1380,-137.143,4
985,-1414.31,544.67,-1611.98,247.919,2
21,33800,33800,0,0,5
72,3205.56,3150,55.5556,0,2
224,-1842.41,1974.55,-3852.68,35.7143,1
365,2176.16,3489.86,-2.19178,0,3
44,9113.64,9022.73,90.9091,0,5
287,3392.33,5035.19,-2.78746,13.9373,3
53,7324.53,7415.09,0,-90.566,4
32,-25,125,0,-150,1
109,-9635.78,-778.899,-5838.53,-3018.35,1
64,7598.44,7598.44,0,0,4
248,-3521.37,508.065,-2079.84,-19.3548,3
566,3170.32,9240.64,-2861.13,-3216.25,2
