@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute binary_judgement {good, bad}
@data
79,-1772.15,-1822.78,0,50.6329,bad
30,-34340,-34606.7,266.667,0,bad
30,23743.3,23610,0,133.333,good
26,26923.1,26923.1,0,0,bad
40,0,0,0,0,bad
60,3533.33,3466.67,66.6667,0,bad
110,12243.6,9085.45,0,3158.18,bad
28,17900,17900,0,0,good
43,25046.5,25046.5,0,0,good
114,163.158,2964.91,-2836.84,35.0877,bad
102,9584.31,8635.29,0,5642.16,bad
25,0,0,0,0,bad
70,11210,11095.7,57.1429,57.1429,good
82,5323.17,5831.71,0,-508.537,bad
37,-5394.59,-5394.59,0,0,good
104,4228.85,8130.77,-3456.73,4157.69,good
27,21844.4,21844.4,0,0,good
44,24734.1,24643.2,0,90.9091,good
69,-11917.4,-11778.3,-69.5652,-69.5652,bad
24,9887.5,-1020.83,0,10908.3,bad
84,11529.8,11529.8,0,0,good
23,-68660.9,-48021.7,173.913,0,bad
22,0,0,0,0,good
51,1860.78,1860.78,0,0,bad
25,-1116,-1116,0,0,good
25,-12516,0,0,-12516,bad
71,15029.6,12339.4,0,0,bad
23,21965.2,21791.3,0,173.913,good
95,-7182.11,-7266.32,42.1053,42.1053,good
29,-38586.2,-38586.2,0,0,good
40,15055,15055,0,0,bad
107,1897.2,37.3832,0,74.7664,good
34,-2288.24,-1073.53,0,-1214.71,bad
20,0,0,0,0,bad
184,-12663,-5444.57,-2016.85,-2600,bad
43,374.419,281.395,0,93.0233,bad
70,2605.71,5297.14,4032.86,114.286,good
85,1130.59,1083.53,47.0588,0,bad
47,13087.2,13087.2,0,0,bad
69,21201.4,21201.4,0,0,bad
22,16450,33781.8,0,4427.27,good
38,-5389.47,0,-5389.47,0,good
40,-9782.5,-120,-9662.5,0,bad
35,114.286,114.286,0,0,good
25,30824,8940,0,320,good
48,7808.33,7808.33,0,0,good
29,45144.8,39179.3,0,5965.52,good
49,-20834.7,-20834.7,0,0,bad
24,3941.67,3941.67,0,0,bad
42,-18157.1,-18252.4,0,95.2381,bad
36,9091.67,10433.3,-1341.67,0,bad
95,3290.53,3290.53,0,0,good
35,32228.6,3134.29,13691.4,0,good
359,5839.83,6376.88,-559.331,22.2841,good
94,2865.96,3379.79,-462.766,-51.0638,bad
44,-3852.27,-7220.45,10890.9,-7522.73,bad
405,-2510.62,-2346.42,-162.222,-1.97531,bad
22,-35081.8,-35081.8,0,0,bad
41,-10524.4,-10524.4,0,0,bad
40,2870,14727.5,-12057.5,200,good
26,27826.9,14603.8,13223.1,0,good
40,8822.5,8272.5,200,350,good
84,21648.8,15848.8,5800,0,bad
23,22026.1,22026.1,0,0,good
23,-1878.26,-1878.26,0,0,bad
35,10845.7,10617.1,0,228.571,bad
26,0,0,0,0,good
44,7118.18,6672.73,354.545,90.9091,good
40,7197.5,1995,0,-8275,bad
69,1476.81,1476.81,0,0,good
65,20963.1,20963.1,0,0,good
37,-4413.51,-4521.62,108.108,0,bad
123,-10926,-6786.99,65.0407,-312.195,bad
29,-13620.7,-13758.6,0,137.931,bad
27,296.296,148.148,0,148.148,bad
23,-14126.1,352.174,0,-14478.3,bad
19,20684.2,20684.2,0,0,bad
89,-14151.7,-8773.03,0,0,bad
68,11204.4,4786.76,58.8235,6358.82,good
134,8038.81,6179.1,1859.7,0,bad
28,36771.4,36771.4,0,0,good
28,2075,14325,-12250,0,good
27,148.148,148.148,0,0,bad
37,5172.97,5172.97,0,0,bad
34,11164.7,10929.4,117.647,117.647,good
27,13681.5,13681.5,0,0,bad
121,4535.54,8491.74,0,0,bad
26,-29638.5,-29638.5,0,0,bad
30,27863.3,27730,133.333,0,good
145,24902.1,21112.4,0,3789.66,good
25,14776,14776,0,0,bad
165,3029.09,890.303,0,-1128.48,bad
41,8946.34,9063.41,-117.073,0,bad
61,7149.18,7149.18,0,0,bad
40,4325,-6485,0,10810,good
29,-26155.2,-26155.2,0,0,bad
193,6835.75,6985.49,-3595.34,3445.6,good
74,6018.92,4424.32,6067.57,-4472.97,bad
41,395.122,395.122,0,0,bad
57,266.667,210.526,70.1754,-14.0351,bad
72,3083.33,14555.6,-4879.17,55.5556,bad
35,26085.7,26085.7,0,0,bad
30,376.667,243.333,0,133.333,good
21,-12219,10576.2,0,0,good
24,504.167,504.167,0,0,good
28,20732.1,20903.6,0,0,good
97,-210.309,-1196.91,0,986.598,bad
84,9802.38,9754.76,47.619,0,bad
19,-7542.11,-7752.63,0,210.526,bad
58,-8196.55,56.8966,0,0,good
52,-5375,10417.3,-6663.46,76.9231,bad
27,18859.3,18859.3,0,0,good
64,14412.5,9042.19,0,5370.31,good
40,2332.5,2332.5,0,0,bad
94,280.851,5911.7,127.66,-5758.51,good
76,9573.68,6181.58,0,3392.11,bad
63,0,0,0,0,bad
31,22338.7,15758.1,0,6580.65,good
24,51037.5,51037.5,0,0,good
28,-28.5714,-171.429,142.857,0,bad
27,-1977.78,0,-1977.78,0,bad
820,1890.98,1922.8,-1019.27,888.902,good
69,-10992.8,-11050.7,0,57.971,bad
55,-11963.6,-4936.36,-7027.27,0,bad
29,-8217.24,3641.38,0,-11858.6,bad
28,0,0,0,0,bad
97,20834,16335.1,0,4498.97,bad
22,26504.5,26504.5,0,0,good
24,33416.7,24916.7,0,8500,good
24,-14250,-14416.7,0,166.667,bad
17,235.294,235.294,0,0,good
52,22886.5,19136.5,76.9231,3673.08,bad
116,20862.9,6132.76,11955.2,2775,good
23,74987,74987,0,0,good
222,-8804.5,2808.11,-5750.9,-1549.1,good
20,-13380,-13380,0,0,good
216,9974.07,8018.52,-1733.8,1193.52,good
23,0,0,0,0,bad
145,-7912.41,-1271.72,-5183.45,-1457.24,bad
141,4775.18,1421.99,0,3387.23,bad
96,41.6667,0,0,41.6667,bad
59,5033.9,4966.1,67.7966,0,bad
85,-7205.88,6038.82,-3162.35,-10082.4,bad
34,31482.4,28550,117.647,2814.71,good
94,36748.9,34542.6,0,2206.38,good
29,417.241,279.31,0,137.931,bad
45,18491.1,18491.1,0,0,good
26,12542.3,12542.3,0,0,bad
55,-14138.2,-5656.36,-8481.82,0,bad
34,0,0,0,0,good
45,5091.11,5091.11,0,0,bad
66,-9083.33,1736.36,60.6061,-3627.27,bad
65,9838.46,4650.77,0,5187.69,bad
114,-4357.89,7420.18,-7071.93,-4706.14,good
49,1646.94,6783.67,0,4730.61,bad
34,10308.8,10308.8,0,0,bad
89,-7394.38,-7394.38,0,0,bad
26,-53065.4,-37500,-15380.8,0,bad
36,26925,17263.9,9438.89,222.222,good
3,2700,2700,0,0,good
21,57261.9,57261.9,0,0,good
82,196.341,147.561,48.7805,0,bad
68,1686.76,1627.94,0,58.8235,bad
26,-3980.77,8596.15,0,-12730.8,bad
205,-6257.07,1776.1,-2435.61,-5597.56,bad
29,6913.79,6775.86,137.931,0,good
35,-16068.6,6908.57,-22977.1,0,bad
21,28914.3,28914.3,0,0,good
156,3024.36,191.026,-30.7692,2864.1,bad
23,16504.3,16330.4,0,173.913,bad
64,9429.69,9367.19,0,62.5,bad
29,413.793,275.862,0,137.931,bad
179,-1026.82,1602.79,0,44.6927,good
34,235.294,117.647,0,117.647,bad
222,-652.703,1184.23,18.018,-1854.95,bad
85,15561.2,10285.9,2548.24,2727.06,good
71,2952.11,2895.77,0,56.338,bad
90,-8452.22,-4291.11,-4205.56,44.4444,good
46,-14337,-14423.9,86.9565,0,good
32,125,0,125,0,bad
27,2529.63,2529.63,0,0,bad
37,2640.54,2640.54,0,0,bad
24,-24879.2,-24879.2,0,0,bad
92,8990.22,1348.91,5252.17,2389.13,good
440,10523.9,8697.27,0,1817.5,good
40,-21292.5,-21392.5,100,0,bad
66,-1789.39,-1850,60.6061,0,good
49,1944.9,1863.27,81.6327,0,bad
72,-23200,-11687.5,0,-4863.89,bad
24,-51887.5,-32108.3,166.667,0,bad
64,787.5,5990.62,0,-5203.12,bad
25,-7428,-7428,0,0,bad
21,190.476,190.476,0,0,bad
274,4420.44,7385.77,0,-1232.85,bad
57,-1205.26,10971.9,0,-12177.2,good
31,-8690.32,-8690.32,0,0,good
26,-39692.3,-40000,307.692,0,bad
445,-1232.36,3429.89,-2556.18,-1030.34,good
194,-3845.36,-2663.4,20.6186,1264.95,bad
37,10262.2,10262.2,0,0,bad
36,17483.3,10322.2,0,7161.11,good
33,-23109.1,-23230.3,121.212,0,bad
22,17259.1,17259.1,0,0,good
326,-5138.34,1567.18,-2274.85,-4430.67,bad
20,405,405,0,0,bad
49,2451.02,2451.02,0,0,good
31,27316.1,27316.1,0,0,good
19,0,0,0,0,bad
22,-40463.6,-18704.5,0,0,bad
31,38474.2,38629,0,0,good
53,6086.79,0,0,6086.79,good
27,-877.778,-18625.9,17748.1,0,good
42,11071.4,8847.62,95.2381,2128.57,bad
43,-17816.3,-17920.9,11144.2,93.0233,bad
20,18780,18580,0,200,bad
69,5469.57,10295.7,0,-4826.09,good
32,11837.5,11837.5,0,0,bad
33,-8636.36,-8757.58,121.212,0,bad
34,214.706,238.235,117.647,-141.176,bad
26,9607.69,9453.85,153.846,0,bad
530,-1700,2110.57,-1514.15,-2303.96,good
51,7960.78,14551,0,2796.08,bad
155,4383.23,6398.06,51.6129,-2066.45,good
