@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute stars {1,2,3,4,5}
@data
0.9677,30,5
1.4741,100,1
0.195,22,1
0.5098999999999999,70,5
-0.1665,39,1
1.8278999999999999,57,5
1.0993,292,2
0.2291,20,5
-0.8978999999999999,192,1
1.4059,285,5
-1.0231999999999999,186,3
-2.3606,335,2
-0.77,80,3
-0.9956000000000002,238,1
-0.08569999999999997,118,1
0.901,169,2
-0.6153,110,4
0.06050000000000001,48,3
1.5704,194,2
-5.235400000000002,402,4
-0.32180000000000003,95,2
1.2358,33,4
0.5395,369,4
-0.7099,125,2
-0.021,49,1
-0.3865,36,3
0.7828999999999999,26,5
-0.42489999999999994,72,4
1.5309999999999997,275,4
-0.2185000000000001,445,3
1.1075,406,4
0.9826,154,4
-3.2371999999999996,588,3
-1.5683999999999998,169,1
0.2384,23,4
0.18439999999999995,273,1
0.9155999999999997,127,4
0.47740000000000005,239,3
-0.7634,93,2
0.8998999999999999,296,5
-0.9755,93,2
0.14229999999999987,41,3
-4.108500000000001,687,2
1.337,76,5
-0.12410000000000027,619,4
1.0271,54,5
-3.8415999999999997,505,2
-1.2916,247,1
-0.01090000000000002,32,2
0.3399,35,4
-1.3930999999999998,985,2
0.7098,21,5
0.23080000000000012,72,2
-0.4126999999999999,224,1
0.7942999999999998,365,3
0.401,44,5
0.9736,287,3
0.3882,53,4
-0.0007999999999999995,32,1
-1.0503000000000002,109,1
0.4863,64,4
-0.8733000000000002,248,3
1.7944,566,2
-0.7409,47,1
-0.2929,60,1
0,75,4
0.12490000000000001,24,5
-0.3542,103,1
0.008,26,5
-0.1395,92,3
-0.2489,103,3
0.008,42,5
-0.2973,71,2
1.0762999999999998,571,2
-0.9002000000000001,23,1
0.7055,203,4
0.004,24,4
0.3046,89,2
-0.7305999999999999,44,3
0.4973999999999999,209,2
1.6106,23,4
1.4385999999999999,317,1
0.3836,29,5
-0.579,41,2
-0.05989999999999995,243,5
-2.5805999999999996,194,1
0.09020000000000002,33,3
4.131599999999995,623,4
1.4317999999999993,1410,3
-1.4785,75,4
