@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
36,2211.11,3583.33,-1483.33,111.111,5
46,14987,15091.3,0,-104.348,5
56,13553.6,71.4286,0,13482.1,5
64,17028.1,11612.5,0,5415.62,4
355,1881.13,6975.49,-5092.11,11.2676,5
22,17863.6,17863.6,0,0,5
36,-10869.4,0,0,2427.78,1
141,-2148.94,-463.83,0,-1685.11,5
44,32577.3,32577.3,0,0,5
314,-2472.61,-1254.46,-1218.15,0,5
32,-21371.9,-6262.5,0,0,3
45,88.8889,0,88.8889,0,5
91,-1713.19,-1713.19,0,0,5
185,8507.03,6607.57,0,1899.46,5
